x,y
8,411,287
1,271,960
13,531,170
1,651,236
14,281,936
1,581,754
918,95
1,107,735
323,270
860,578
16,461,560
13,581,558
411,604
170,446
1546,4
8,641,279
10,011,892
8,741,926
9,801,193
5,081,108
797,606
12,061,477
2,251,307
224,524
891,670
15,271,877
9,451,006
6,761,867
17,881,456
16,441,657
1,581,673
8,121,755
1,241,348
5,421,158
917,303
285,9
106,404
6,241,791
16,681,522
13,071,887
1,028,708
697,317
1,646,163
596,856
381,467
1,819,710
16,341,641
18,121,619
16,561,584
3,731,649
213,879
992,926
1,461,893
4,001,665
1,618,819
7,331,664
441,513
983,694
51,665
10,021,642
8,731,961
4,821,752
1,371,502
16,321,677
10,131,158
1,124,853
128,647
1953,67
13,591,325
571,090
13,671,761
6,471,263
3,251,173
10,051,471
19,231,766
12,871,801
599,957
12,661,352
14,211,401
831,690
206,574
38,758
4,661,347
1,335,700
867,658
1,094,105
1,860,902
1,739,389
1,104,357
10,951,898
12,561,909
3,701,371
14,251,662
350,572
16,761,105
11,951,862
7,371,537
1,927,262
378,732
1,075,386
19,001,549
484,663
19,891,826
1,861,423
494,586
12,501,325
1005,5
475,277
9,051,796
125,677
483,608
7,181,372
13,451,658
65,77
10,151,619
248,791
9,341,778
174,779
11,871,036
1,307,981
1,077,857
2,951,401
1,066,604
1,561,761
5,021,917
11,101,026
10,571,849
2,151,048
6,701,554
11,321,168
611,923
6,611,016
1,644,256
1,182,523
944,761
18,341,085
1,288,670
1,241,779
1,747,283
5,031,508
6,811,168
227,902
12,911,716
6,561,104
12,441,610
12,941,141
1,196,838
870,156
1,561,281
16,557
14,331,412
381,596
1,668,597
13,441,240
645,158
482,584
312,432
1,627,251
4,251,044
944,465
19,871,279
381,197
3,031,931
13,371,855
936,274
1,244,817
1,336,439
789,949
227,9
111,858
9,931,639
1,959,810
1,174,526
9,891,251
350,180
859,959
1,343,669
8,351,485
442,286
1,123,262
10,461,703
4,071,383
1,370,753
17,631,665
1,147,307
1,708,312
1,629,376
1,541,981
16,321,343
14,061,988
366,942
11,371,048
88,592
16,411,196
16,071,701
3,571,372
10,651,507
1,521,685
1,174,974
252,72
15,711,326
616,119
1,225,192
11,751,436
1,717,691
1,633,817
1,533,527
220,184
6,031,081
16,851,652
1,286,520
16,161,037
1,003,598
3,961,161
1,701,538
1,172,915
14,921,320
1,662,846
1,717,864
10,981,630
1,875,998
1,596,335
603,556
6,091,097
1,776,434
19,921,160
1,870,377
5,781,376
12,591,602
701,613
17,131,529
1,349,959
10,481,210
929,719
17,621,325
599,161
5,331,582
3,621,595
532,753
8,211,859
8,851,266
11,341,116
10,671,908
729,893
1,569,276
965,747
2,271,939
1,867,752
11,551,041
233,623
142,307
1,315,635
4,451,145
1,853,898
620,34
1,512,599
3,701,143
1,428,868
1,715,869
9,121,388
1,436,708
10,591,499
1,668,268
1,172,168
320,990
482,442
8,761,161
531,992
13,321,532
1,271,800
1,872,894
503,829
16,231,701
18,981,089
1,163,147
1,191,552
6,011,880
1,291,680
1,792,862
11,661,465
13,181,715
16,021,839
13,291,665
18,121,963
1,074,845
1,254,452
1,670,183
1,637,730
13,891,769
15,961,577
1370,7
1831,78
1,113,310
10,821,495
8,831,296
1,142,786
1,209,702
6,701,016
771,133
1,281,608
1,292,684
1,450,825
1423,34
1,170,519
3,181,342
14,341,706
17,561,256
12,281,204
836,544
1,408,876
19,401,040
1,385,111
292,287
1,359,870
671,602
732,995
10,151,940
1,937,656
19,781,207
16,621,284
15,161,924
1,223,694
313,965
1,903,774
11,091,595
9,671,313
12,851,589
14,381,297
15,162
1,300,312
9,481,531
409,733
5,261,780
7,201,566
45,855
1,395,827
18,801,574
15,061,292
1,783,766
569,546
178,645
2,741,144
11,131,923
15,981,527
1,700,550
371,519
16,191,188
4,701,180
1,944,307
16,491,342
4,981,979
3,445
431,581
824,613
13,591,752
919,266
1,624,356
8,141,294
1,371,977
8,991,307
2,771,499
6,031,599
16,711,488
5,441,706
142,529
1,397,999
309,919
3,051,620
13,151,572
1,921,579
10,231,131
271,106
4,641,597
4,821,971
4,481,746
7,861,404
13,041,378
268,913
767,934
10,861,870
1,251,130
540,467
8,321,192
13,171,907
6,181,207
8,151,553
1,291,626
993,428
1,971,245
1,605,522
18,291,057
143,713
6,071,827
19,201,767
11,451,862
654,737
9,781,372
1,968,283
1,995,565
1,147,982
7,461,764
1,358,565
14,881,331
1359,57
1,390,130
1,381,161
19,031,459
18,941,700
5,741,596
26,594
231,357
16,321,920
446,648
1,696,119
44,582
1,619,993
11,451,089
17,021,372
7,741,256
8,011,139
830,321
553,998
6,531,451
1,687,983
1,061,280
1,283,472
1,313,149
10,221,670
801,64
642,537
18,171,374
1,124,695
1,231,739
10,461,153
351,387
2,231,928
14,801,185
622,381
17,881,221
3,511,378
8,081,204
109,936
961,472
1,751,700
974,671
15,121,057
11,631,120
9,781,609
544,626
8,741,474
1,482,124
1,506,416
1,798,937
1,941,998
251,552
12,121,432
1,349,853
1,941,665
12,911,610
1,734,537
7,021,502
12,911,051
6,491,458
135,725
413,497
64,30
2,801,257
976,533
343,543
465,850
1,215,744
14,811,536
494,895
770,382
1,516,212
578,133
11,971,093
1,344,265
17,561,685
9,341,158
556,929
4,371,091
1,475,854
1,117,185
1,341,003
1,882,626
51,330
11,011,701
589,75
691,262
1,707,994
11,861,207
1,741,630
1,406,408
9,741,884
16,711,898
2,471,696
14,581,214
1,851,905
1,388,862
8,281,630
1,123,449
1,640,858
9,771,574
8,871,871
1,341,501
14,101,523
1,713,162
17,021,096
1,043,583
1,971,130
11,881,893
7,341,141
19,931,979
938,908
8,811,511
1,516,813
186,51
17,581,263
4,431,780
12,051,282
1,632,972
651,34
13,491,261
3,521,931
249,37
1,636,744
6,311,490
1,230,558
248,911
116,317
1,146,741
11,091,250
684,348
1,584,113
19,921,359
1,848,274
6,731,618
501,800
5,051,120
782,483
161,446
593,996
1,991,696
349,433
1,091,947
1,640,496
1,348,756
13,021,404
698,153
12,001,552
1,977,826
1,696,157
12,031,081
2,111,303
16,531,332
1,631,576
1262,3
18,131,231
1,260,314
475,190
1,321,606
626,480
242,557
10,081,454
10,391,320
1,764,940
1,090,336
7,591,009
972,595
357,157
6,111,718
12,421,573
19,861,331
1,506,420
18,201,581
1,500,259
1,345,310
17,231,395
5,431,660
1,939,632
1,928,513
1,251,169
3,991,762
1,716,381
22,349
710,768
11,341,536
10,031,300
9,361,775
15,241,386
8,171,525
1,601,486
16,041,897
11,171,072
394,434
106,429
1,632,778
337,326
2,291,417
6,631,168
1,081,739
95,427
1,378,677
841,416
15,171,564
384,343
1,470,216
14,991,947
1,531,963
2,271,924
1,402,367
2,941,595
9,411,749
996,960
1,911,400
17,971,255
5,821,740
377,413
194,494
15,251,769
5,361,227
1,964,783
161,135
14,671,827
18,801,874
12,501,856
1,571,232
10,001,461
19,861,465
19,881,860
12,661,035
1,016,360
371,848
2,321,109
10,811,602
16,861,571
1,560,688
1,735,945
19,031,198
88,952
8,901,661
1,550,503
7,231,567
3,701,891
1,927,990
1,780,206
1,177,761
848,674
12,391,860
14,771,297
10,781,394
496,172
9,901,033
5,011,101
12,281,888
1,359,503
18,461,872
591,370
18,151,658
41,452
1,681,499
14,161,495
992,877
18,821,173
14,491,517
276,105
4,871,131
11,711,137
13,301,665
1,399,892
6,111,092
690,527
9,221,240
1,691,586
1,521,839
1,205,357
80,276
9,991,984
850,511
1,361,984
111,397
772,272
187,907
13,421,406
13,901,382
17,381,369
4,931,052
6,751,478
1,159,791
8,411,221
1,341,926
18,251,581
767,675
15,141,210
3,831,312
1,197,412
4,411,777
8,611,996
733,663
17,651,247
17,701,583
7,401,205
763,706
13,441,609
6,151,352
1,861,219
2,831,098
1,681,352
802,871
361,771
181,795
307,25
1621,34
4,731,222
10,781,728
112,669
12,161,884
4,671,066
3,731,593
873,406
11,681,208
739,225
16,231,710
1,336,472
618,307
6,841,743
137,111
29,489
586,928
4,171,749
13,581,094
15,501,768
2,821,623
1,267,839
4,201,296
1,186,763
1,398,697
1800,26
201,975
280,594
94,601
1,255,260
9,031,268
1,970,666
16,531,188
1,567,766
385,530
271,655
10,541,709
1,013,153
6,241,947
8,351,288
6,281,442
5,081,663
8,881,107
500,380
8,571,285
3,391,214
150,20
4,891,878
121,729
5,871,852
16,531,733
1,855,563
811,072
6,811,021
10,311,668
1,698,290
2,301,790
5,241,267
1,140,354
389,223
213,421
61,339
14,461,579
871,650
425,100
950,316
1,436,909
1,490,733
429,949
2,551,141
6,751,730
17,831,136
17,971,415
458,837
1,911,562
15,991,664
7,151,255
849,994
12,151,792
8,991,605
1,337,723
8,981,032
1,820,992
834,528
9,421,623
1,860,998
1,242,280
5,421,968
11,611,535
899,754
15,471,473
162,43
1,181,437
578,938
602,427
950,304
2,581,701
861,568
240,739
471,699
912,100
48,481
7,111,775
1,916,184
6,911,602
8,611,900
226,693
8,961,134
1,853,330
13,491,153
1,409,553
1,153,249
3,421,038
1,789,557
1,299,636
6,851,249
874,713
1,960,513
551,756
257,452
269,841
6,191,083
56,731
1578,25
1,201,822
437,335
4,841,748
514,335
7,391,972
17,891,280
15,121,584
17,161,245
767,96
7,601,333
12,551,526
692,315
1,759,877
1,502,765
1,715,702
14,501,108
1,487,280
6,921,471
733,626
464,497
11,181,893
16,171,790
12,571,316
12,211,212
4,491,358
13,301,023
911,976
12,111,185
180,424
1,202,981
11,071,532
9,421,940
1,032,168
1,881,104
19,171,717
1,965,664
18,961,120
1,498,890
18,811,724
864,622
445,248
747,357
19,671,392
18,921,903
1,474,776
5,921,979
159,269
18,051,127
16,591,107
2,541,284
14,991,144
15,711,087
14,101,549
1,821,734
1,838,965
6,051,462
941,310
12,831,897
18,481,555
6,261,526
1,003,119
1,794,141
1,367,613
828,192
4,711,082
7,361,265
18,371,931
813,522
4,341,087
17,011,506
15,141,531
241,290
1,625,942
494,616
397,18
15,821,990
11,231,865
617,143
173,565
1281,93
1,502,679
18,971,642
12,711,776
726,653
16,851,205
836,307
1,677,542
1,789,323
317,223
4,431,048
195,315
14,961,325
1,884,459
545,519
18,091,404
9,401,763
1,034,475
3,671,812
950,242
3,971,629
1,833,670
723,425
9,051,839
1,437,457
1,470,198
18,091,712
1558,31
423,370
14,811,230
1,939,378
3,171,215
11,891,580
12,611,387
269,15
17,851,161
13,641,269
215,586
2,941,719
17,771,599
1,987,574
1,551,709
17,331,139
18,581,408
1,151,379
1,187,532
8,041,476
1,351,683
1,955,514
10,081,476
757,11
222,304
1,005,240
3,181,934
461,949
578,731
1719,60
1,106,311
493,98
16,141,312
1,480,996
12,891,447
821,625
2,031,769
16,831,362
1071,53
763,143
698,5
135,181
114,807
17,511,869
9,981,668
527,243
629,932
1,431,210
132,804
12,021,792
11,041,398
254,171
11,961,077
7,341,965
15,051,613
396,448
13,871,124
1,129,782
7,711,867
372,944
8,711,588
621,432
17,421,262
3,421,764
760,710
18,511,372
2,081,131
2,941,753
351,575
11,821,417
16,971,088
14,231,918
12,091,102
18,551,142
1,938,103
7,151,429
16,541,105
1,761,288
676,312
1,090,937
1,971,665
11,261,324
1514,33
973,138
823,68
4,071,974
2,441,726
4,271,173
18,761,854
1,612,807
1,576,413
4,881,052
5,361,665
1,002,499
14,941,787
1,052,776
6,871,928
941,533
579,288
6,861,694
17,501,734
1,406,407
1,649,151
8,791,707
18,241,803
4,901,347
529,570
3,991,539
15,061,039
2,921,631
7,331,452
444,107
470,905
1,451,561
8,351,154
5,561,691
1,009,156
1,111,408
122,489
5,301,472
928,56
12,121,122
19,231,177
3,421,949
1,924,948
17,431,313
1,646,842
5,441,368
7,351,918
696,688
1,300,163
9,051,710
6,591,623
1208,82
18,671,768
15,061,339
9,271,058
424,696
85,284
883,394
12,941,831
671,248
1554,65
463,522
8,221,264
1,268,656
983,370
5,541,857
18,351,058
1,884,848
1,198,213
1,629,839
90,839
9,631,206
527,44
752,420
444,624
129,357
8,091,505
431,248
1,302,366
7,001,023
12,381,939
1,942,723
13,611,641
818,674
1,596,375
1,034,157
4,661
19,921,616
1,842,998
320,676
1859,50
7,151,535
234,57
19,331,588
1655,3
1,629,441
1,872,137
12,011,147
316,624
950,939
1493,79
4,931,319
7,571,158
1,059,100
4,601,321
17,591,551
1,961,117
11,921,337
1,348,355
15,811,244
1,745,895
2,221,344
8,351,664
9,021,674
18,151,482
7,961,485
9,781,048
1241,55
1,618,299
1,257,568
720,747
620,342
12,671,614
18,871,795
1,506,606
187,538
14,691,477
13,631,958
7,101,287
1,065,714
237,702
1592,18
1,281,986
658,482
1,070,626
1,501,426
947,963
6,191,446
251,24
1835,48
10,511,293
13,631,510
5,371,296
9,911,432
2,201,987
1047,27
601,347
557,158
12,181,245
1,354,725
1,134,703
917,913
1,254,451
1358,44
5,341,608
13,371,376
9,541,568
757,524
10,841,332
138,667
1,886,675
16,331,653
17,521,620
489,519
19,201,153
1,507,596
6,551,767
818,785
14,531,462
16,861,387
14,211,777
651,452
15,791,785
841,341
1,231,670
1,825,354
392,607
1,163,758
1648,41
645,855
893,340
1,629,298
12,601,583
4,121,270
1,066,276
1,141,704
508,343
1,184,696
1,044,499
1,001,191
710,447
8,681,836
6,091,844
1,786,371
7,211,682
444,493
18,621,398
813,736
19,951,868
18,181,689
5,541,014
2,281,318
1,292,444
9,631,253
8,851,239
998,9
10,331,083
4,141,289
14,451,274
6,291,780
5,001,198
17,351,238
14,531,588
1,701,700
1,561,582
17,991,717
11,771,814
1,259,280
1,149,706
15,921,349
13,151,098
17,651,198
1,137,788
19,541,858
163,534
1,082,272
7,421,401
1,680,857
1,977,314
5,131,696
11,421,707
977,679
8,401,777
13,611,923
15,271,079
5,291,574
1,741,218
1,671,762
17,391,019
8,081,576
829,558
1,986,232
4,761,832
14,761,750
501,532
19,781,177
1,008,430
684,837
17,201,486
11,861,562
1,456,453
3,801,107
10,961,977
1,432,136
12,561,966
14,811,466
318,9
475,265
4,631,415
463,568
2,331,095
4,051,143
110,654
18,291,074
12,841,740
1,616,268
507,445
1,591,734
1,389,172
3,471,599
3,961,078
1,645,603
981,644
13,201,048
1767,42
1,738,343
415,752
12,481,359
5,561,235
1547,39
174,118
679,456
14,081,774
